zOrig,zDest,FAF_O,FAF_D,netNodeO,netNodeD,FRA_O,FRA_D,fTons (K)
126,276,209,487,4174,2897,367777,350299,347.031631
319,184,560,329,2353,799,341490,316845,346.898888
46,200,99,363,14835,14568,493235,490541,346.818544
60,208,124,373,10921,12931,445695,469919,345.475695
170,161,300,271,1466,5230,329642,381938,345.177521
76,51,139,121,9533,11545,429596,451169,344.744225
312,215,559,380,7218,3491,406783,358711,344.638055
305,242,540,422,11305,12573,448728,465636,344.189445
315,161,560,271,1925,5230,336667,381938,344.187218
91,274,171,486,7983,4351,414089,370166,344.12417
315,165,560,291,1925,4689,336667,375289,343.33281
315,166,560,291,1925,4704,336667,375681,343.33281
318,134,560,219,2216,9709,340080,432001,342.645869
192,226,341,399,14507,10155,489881,437809,340.616742
307,189,540,341,12425,14369,462506,487996,340.124699
90,20,171,61,7519,1012,410045,321736,340.074035
4,8,12,19,7596,9382,410839,428070,339.586419
171,300,300,531,1470,300,329739,307557,339.482134
226,100,399,181,10155,8648,437809,418964,338.791415
162,299,279,531,5654,237,386600,305935,338.716825
